"code_centre_interet","libelle_centre_interet","code_ogr_rome","code_rome","libelle_rome","principal"
"1","J'ai envie de créer, construire, rénover","488634","A1206","Concepteur / Conceptrice paysagiste","non"
"1","J'ai envie de créer, construire, rénover","488734","A1208","Jardinier / Jardinière paysagiste","non"
"1","J'ai envie de créer, construire, rénover","488728","A1425","Ramendeur / Ramendeuse","non"
"1","J'ai envie de créer, construire, rénover","39","B1302","Décorateur / Décoratrice d'objets d'art","non"
"1","J'ai envie de créer, construire, rénover","489064","B1403","Restaurateur / Restauratrice de livres anciens","oui"
"1","J'ai envie de créer, construire, rénover","44","B1601","Métallier / Métallière d'art","oui"
"1","J'ai envie de créer, construire, rénover","45","B1602","Souffleur / Souffleuse de verre","oui"
"1","J'ai envie de créer, construire, rénover","488744","B1613","Orfèvre","non"
"1","J'ai envie de créer, construire, rénover","489215","B1614","Monteur / Monteuse en orfèvrerie","non"
"1","J'ai envie de créer, construire, rénover","52","B1804","Brodeur / Brodeuse","non"
"1","J'ai envie de créer, construire, rénover","54","B1806","Tapissier / Tapissière d'ameublement","non"
"1","J'ai envie de créer, construire, rénover","489040","C1506","Responsable de projet immobilier","non"
"1","J'ai envie de créer, construire, rénover","510054","E1119","Concepteur rédacteur / Conceptrice rédactrice","oui"
"1","J'ai envie de créer, construire, rénover","510441","E1127","Brand content manager","oui"
"1","J'ai envie de créer, construire, rénover","404036","E1206","UX - UI Designer","non"
"1","J'ai envie de créer, construire, rénover","510604","E1210","Web designer","non"
"1","J'ai envie de créer, construire, rénover","510016","E1211","Dessinateur-illustrateur / Dessinatrice-illustratrice","non"
"1","J'ai envie de créer, construire, rénover","142","F1101","Architecte du bâtiment","non"
"1","J'ai envie de créer, construire, rénover","144","F1103","Diagnostiqueur / Diagnostiqueuse immobilier","non"
"1","J'ai envie de créer, construire, rénover","145","F1104","Dessinateur-projeteur / Dessinatrice-projeteuse de la construction","non"
"1","J'ai envie de créer, construire, rénover","147","F1106","Ingénieur / Ingénieure d'études de prix BTP","oui"
"1","J'ai envie de créer, construire, rénover","149","F1108","Métreur / Métreuse de la construction","oui"
"1","J'ai envie de créer, construire, rénover","403089","F1111","Ingénieur / Ingénieure génie civil","oui"
"1","J'ai envie de créer, construire, rénover","403090","F1112","Ingénieur / Ingénieure calcul et structure","oui"
"1","J'ai envie de créer, construire, rénover","404538","F1114","Conseiller / Conseillère en rénovation énergétique","non"
"1","J'ai envie de créer, construire, rénover","488589","F1116","Ingénieur / Ingénieure démantèlement nucléaire","oui"
"1","J'ai envie de créer, construire, rénover","488590","F1117","Ingénieur / Ingénieure d'étude CVC","oui"
"1","J'ai envie de créer, construire, rénover","488623","F1120","Economiste de la construction","oui"
"1","J'ai envie de créer, construire, rénover","488637","F1121","Architecte du patrimoine national","oui"
"1","J'ai envie de créer, construire, rénover","488719","F1122","Ingénieur / Ingénieure Chantier nucléaire","oui"
"1","J'ai envie de créer, construire, rénover","489011","F1125","BIM Manager","oui"
"1","J'ai envie de créer, construire, rénover","489182","F1126","Assistant / Assistante maîtrise d'œuvre en architecture","non"
"1","J'ai envie de créer, construire, rénover","509406","F1127","Architecte-urbaniste","oui"
"1","J'ai envie de créer, construire, rénover","509494","F1130","Contrôleur / Contrôleuse technique de la construction (CTC)","non"
"1","J'ai envie de créer, construire, rénover","509539","F1132","Acousticien / Acousticienne du bâtiment","oui"
"1","J'ai envie de créer, construire, rénover","509808","F1134","Domoticien / Domoticienne","oui"
"1","J'ai envie de créer, construire, rénover","509907","F1135","Chargé / Chargée d'affaires BTP","non"
"1","J'ai envie de créer, construire, rénover","510056","F1137","Chargé / Chargée de méthodes BTP","non"
"1","J'ai envie de créer, construire, rénover","510159","F1139","Décorateur / Décoratrice d'intérieur","non"
"1","J'ai envie de créer, construire, rénover","510176","F1140","Concepteur / Conceptrice agencement","non"
"1","J'ai envie de créer, construire, rénover","510177","F1141","Ingénieur / Ingénieure études conception électrique","oui"
"1","J'ai envie de créer, construire, rénover","150","F1201","Conducteur / Conductrice de travaux du bâtiment","oui"
"1","J'ai envie de créer, construire, rénover","151","F1202","Chef / Cheffe de chantier bâtiment","non"
"1","J'ai envie de créer, construire, rénover","152","F1203","Responsable d'exploitation de gisements et de carrières","non"
"1","J'ai envie de créer, construire, rénover","403076","F1205","Directeur / Directrice de travaux du bâtiment","oui"
"1","J'ai envie de créer, construire, rénover","489220","F1206","Chef / Cheffe d'équipe bâtiment","oui"
"1","J'ai envie de créer, construire, rénover","490402","F1207","Chef / Cheffe d'équipe travaux publics","non"
"1","J'ai envie de créer, construire, rénover","509797","F1208","Conducteur / Conductrice de travaux publics","oui"
"1","J'ai envie de créer, construire, rénover","510010","F1209","Chef / Cheffe de chantier travaux publics","non"
"1","J'ai envie de créer, construire, rénover","510445","F1210","Directeur / Directrice de travaux TP - Travaux Publics","oui"
"1","J'ai envie de créer, construire, rénover","154","F1301","Grutier / Grutière","non"
"1","J'ai envie de créer, construire, rénover","155","F1302","Conducteur / Conductrice d'engins de chantier","non"
"1","J'ai envie de créer, construire, rénover","510057","F1303","Conducteur / Conductrice d'engin de damage","non"
"1","J'ai envie de créer, construire, rénover","156","F1401","Foreur / Foreuse","oui"
"1","J'ai envie de créer, construire, rénover","158","F1501","Monteur / Monteuse de structures bois","oui"
"1","J'ai envie de créer, construire, rénover","159","F1502","Monteur / Monteuse en structures métalliques","oui"
"1","J'ai envie de créer, construire, rénover","160","F1503","Charpentier / Charpentière","oui"
"1","J'ai envie de créer, construire, rénover","488871","F1504","Charpentier / Charpentière de marine","oui"
"1","J'ai envie de créer, construire, rénover","510636","F1505","Echafaudeur / Echafaudeuse","oui"
"1","J'ai envie de créer, construire, rénover","161","F1601","Plâtrier / Plâtrière","oui"
"1","J'ai envie de créer, construire, rénover","162","F1602","Electricien / Electricienne du bâtiment","oui"
"1","J'ai envie de créer, construire, rénover","163","F1603","Plombier / Plombière sanitaire","oui"
"1","J'ai envie de créer, construire, rénover","164","F1604","Plaquiste","oui"
"1","J'ai envie de créer, construire, rénover","165","F1605","Monteur / Monteuse de réseaux électriques","oui"
"1","J'ai envie de créer, construire, rénover","166","F1606","Peintre en bâtiment","non"
"1","J'ai envie de créer, construire, rénover","167","F1607","Menuisier / Menuisière aluminium","oui"
"1","J'ai envie de créer, construire, rénover","168","F1608","Carreleur / Carreleuse","oui"
"1","J'ai envie de créer, construire, rénover","169","F1609","Solier / Solière","oui"
"1","J'ai envie de créer, construire, rénover","170","F1610","Installateur mainteneur / Installatrice mainteneuse en systèmes solaires, thermiques et photovoltaïques","non"
"1","J'ai envie de créer, construire, rénover","171","F1611","Façadier / Façadière itéiste","oui"
"1","J'ai envie de créer, construire, rénover","172","F1612","Tailleur / Tailleuse de pierre","oui"
"1","J'ai envie de créer, construire, rénover","173","F1613","Etancheur / Etancheuse","oui"
"1","J'ai envie de créer, construire, rénover","403073","F1614","Poseur / Poseuse en fermetures de bâtiment","oui"
"1","J'ai envie de créer, construire, rénover","403080","F1615","Poseur / Poseuse de cloisons démontables et mobiles","oui"
"1","J'ai envie de créer, construire, rénover","403081","F1616","Poseur / Poseuse de menuiseries extérieures","oui"
"1","J'ai envie de créer, construire, rénover","403082","F1617","Poseur / Poseuse de véranda","oui"
"1","J'ai envie de créer, construire, rénover","403083","F1618","Poseur / Poseuse de façade vitrée","oui"
"1","J'ai envie de créer, construire, rénover","404037","F1619","Couvreur / Couvreuse","non"
"1","J'ai envie de créer, construire, rénover","404539","F1620","Installateur / Installatrice chauffage et climatisation","oui"
"1","J'ai envie de créer, construire, rénover","488572","F1621","Ramoneur / Ramoneuse","oui"
"1","J'ai envie de créer, construire, rénover","488912","F1622","Monteur / Monteuse en éclairage public","oui"
"1","J'ai envie de créer, construire, rénover","489030","F1623","Monteur / Monteuse installation réseaux mobiles","oui"
"1","J'ai envie de créer, construire, rénover","489084","F1624","Staffeur Stuqueur / Staffeuse Stuqueuse","non"
"1","J'ai envie de créer, construire, rénover","489189","F1625","Monteur / Monteuse en agencement","oui"
"1","J'ai envie de créer, construire, rénover","509352","F1626","Calorifugeur / Calorifugeuse","non"
"1","J'ai envie de créer, construire, rénover","509523","F1627","Poseur / Poseuse de compteurs","non"
"1","J'ai envie de créer, construire, rénover","509765","F1629","Electricien / Electricienne ferroviaire","non"
"1","J'ai envie de créer, construire, rénover","510145","F1630","Technicien / Technicienne de désenfumage","oui"
"1","J'ai envie de créer, construire, rénover","174","F1701","Coffreur / Coffreuse","oui"
"1","J'ai envie de créer, construire, rénover","175","F1702","Ouvrier / Ouvrière en voiries","oui"
"1","J'ai envie de créer, construire, rénover","176","F1703","Maçon / Maçonne","oui"
"1","J'ai envie de créer, construire, rénover","177","F1704","Manœuvre bâtiment","oui"
"1","J'ai envie de créer, construire, rénover","178","F1705","Poseur / Poseuse de canalisations","oui"
"1","J'ai envie de créer, construire, rénover","179","F1706","Armaturier / Armaturière de l'industrie du béton","oui"
"1","J'ai envie de créer, construire, rénover","403952","F1707","Maçon / Maçonne du paysage","non"
"1","J'ai envie de créer, construire, rénover","403954","F1708","Installateur-poseur / Installatrice-poseuse de piscines préfabriquées","non"
"1","J'ai envie de créer, construire, rénover","404038","F1709","Démolisseur / Démolisseuse","non"
"1","J'ai envie de créer, construire, rénover","488283","F1710","Magasinier / Magasinière en négoce des matériaux de construction","non"
"1","J'ai envie de créer, construire, rénover","509369","F1711","Poseur / Poseuse de voies ferrées","oui"
"1","J'ai envie de créer, construire, rénover","213","H1202","Dessinateur / Dessinatrice en électricité-électronique","non"
"1","J'ai envie de créer, construire, rénover","217","H1206","Ingénieur / Ingénieure R&D en industrie","oui"
"1","J'ai envie de créer, construire, rénover","220","H1209","Technicien / Technicienne en électricité et électronique études et développement","non"
"1","J'ai envie de créer, construire, rénover","488291","H1213","Responsable du développement clinique en industrie pharmaceutique","oui"
"1","J'ai envie de créer, construire, rénover","488303","H1215","Bioinformaticien / Bioinformaticienne en études, recherche et développement","oui"
"1","J'ai envie de créer, construire, rénover","488308","H1216","Responsable des études épidémiologiques","oui"
"1","J'ai envie de créer, construire, rénover","488313","H1217","Technicien / Technicienne formulation en industrie pharmaceutique","oui"
"1","J'ai envie de créer, construire, rénover","488316","H1218","Responsable de projet recherche et développement","oui"
"1","J'ai envie de créer, construire, rénover","488319","H1219","Responsable opérationnel / Responsable opérationnelle des études cliniques en industrie pharmaceutique","oui"
"1","J'ai envie de créer, construire, rénover","488322","H1220","Responsable formulation en industrie pharmaceutique","oui"
"1","J'ai envie de créer, construire, rénover","488347","H1222","Responsable médical / Responsable médicale des études cliniques en industrie pharmaceutique","oui"
"1","J'ai envie de créer, construire, rénover","488351","H1223","Coordinateur / Coordinatrice d'études cliniques en industrie pharmaceutique","oui"
"1","J'ai envie de créer, construire, rénover","489219","H1225","Ingénieur / Ingénieure développement nucléaire","oui"
"1","J'ai envie de créer, construire, rénover","509358","H1227","Maquettiste en électronique","non"
"1","J'ai envie de créer, construire, rénover","510276","H1228","Projeteur / Projeteuse chef de groupe en électricité-électronique","non"
"1","J'ai envie de créer, construire, rénover","509401","H1229","Roughman / Roughwoman en design","non"
"1","J'ai envie de créer, construire, rénover","510188","H1232","Technicien / Technicienne d'études en industrie des matériaux souples","non"
"1","J'ai envie de créer, construire, rénover","510135","H1233","Chef de projet / Cheffe de projet design","non"
"1","J'ai envie de créer, construire, rénover","509769","H1235","Technicien / Technicienne en conception industrielle en mécanique","non"
"1","J'ai envie de créer, construire, rénover","510075","H1237","Ingénieur / Ingénieure énergies renouvelables","non"
"1","J'ai envie de créer, construire, rénover","509906","H1238","Chef / Cheffe de projet conception industrielle en mécanique","non"
"1","J'ai envie de créer, construire, rénover","510028","H1239","Technicien / Technicienne en conception électronique, électrique","oui"
"1","J'ai envie de créer, construire, rénover","509936","H1240","Agent / Agente de finissage couleurs et effets cuirs et peaux","non"
"1","J'ai envie de créer, construire, rénover","242","H2206","Menuisier / Menuisière","non"
"1","J'ai envie de créer, construire, rénover","245","H2209","Dessinateur / Dessinatrice de structures en bois","non"
"1","J'ai envie de créer, construire, rénover","489038","H2210","Tonnelier / Tonnelière","non"
"1","J'ai envie de créer, construire, rénover","488887","H2211","Opérateur / Opératrice de sciage bois","non"
"1","J'ai envie de créer, construire, rénover","509499","H2212","Technicien / Technicienne de fabrication en industrie du bois","non"
"1","J'ai envie de créer, construire, rénover","509693","H2213","Menuisier / Menuisière en construction nautique","non"
"1","J'ai envie de créer, construire, rénover","513850","H2214","Mérandier / Mérandière","non"
"1","J'ai envie de créer, construire, rénover","254","H2408","Imprimeur / Imprimeuse textile","non"
"1","J'ai envie de créer, construire, rénover","488630","H2416","Gainier industriel / Gainière industrielle","oui"
"1","J'ai envie de créer, construire, rénover","262","H2501","Chef / Cheffe d'atelier production électricité-électronique","non"
"1","J'ai envie de créer, construire, rénover","263","H2502","Responsable d'unité de production industrielle","non"
"1","J'ai envie de créer, construire, rénover","264","H2503","Responsable d'îlot de production","non"
