"code_ogr_savoir","libelle_savoir","categorie_savoir","sous_categorie_savoir","transition_eco","transition_num"
"100003","Fonctionnement des engins agricoles","Produits, outils et matières","Outils, machines, équipement matériel","","N"
"100007","Techniques de soudage","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100011","Techniques culturales","Domaines d'expertise","Agriculture","","N"
"100015","Cadre réglementaire environnemental","Normes et procédés","Règlementations, normes","O","N"
"100016","Gestes et postures de manutention","Domaines d'expertise","Expertises techniques","","N"
"100017","Règles de sécurité","Normes et procédés","Méthodes, procédés, procédures","","N"
"100018","Utilisation de débusqueur","Produits, outils et matières","Outils, machines, équipement matériel","","N"
"100019","Caractéristiques des écosystèmes","Domaines d'expertise","Expertises techniques","O","N"
"100029","Techniques d'affûtage","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100030","Physiologie végétale","Domaines d'expertise","Expertises scientifiques","","N"
"100032","Techniques de taille de végétaux","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100033","Techniques de coupe et d'abattage","Domaines d'expertise","Agriculture","","N"
"100034","Techniques d'escalade","Techniques professionnelles","Autres techniques professionnelles","","N"
"100035","Techniques d'haubanage","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100038","Chiffrage et calcul de coût","Domaines d'expertise","Expertises techniques","","N"
"100039","Techniques de soins aux arbres ou ceps","Domaines d'expertise","Agriculture","O","N"
"100050","Réglementation des espaces et espèces protégés","Normes et procédés","Règlementations, normes","","N"
"100051","Classification des espèces animales","Normes et procédés","Documentations, cartes et plans","","N"
"100057","Méthodes de conservation de la biodiversité","Domaines d'expertise","Expertises scientifiques","O","N"
"100064","Utilisation d'engins de tonte (autotractés et autoportés)","Produits, outils et matières","Outils, machines, équipement matériel","","N"
"100075","Utilisation de matériel de capture (seringue hypodermique, ...)","Produits, outils et matières","Outils, machines, équipement matériel","","N"
"100076","Droit forestier","Normes et procédés","Règlementations, normes","","N"
"100077","Droit rural","Normes et procédés","Règlementations, normes","","N"
"100078","Réglementation de la pêche","Normes et procédés","Règlementations, normes","","N"
"100079","Réglementation de la chasse","Normes et procédés","Règlementations, normes","","N"
"100086","Techniques de comptage","Techniques professionnelles","Autres techniques professionnelles","","N"
"100087","Techniques de baguage","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100088","Techniques d'approche et de manipulation des animaux","Techniques professionnelles","Autres techniques professionnelles","","N"
"100090","Techniques pédagogiques","Techniques professionnelles","Autres techniques professionnelles","","N"
"100091","Normes de sécurité et d'accessibilité des espaces et des établissements recevant du public","Normes et procédés","Règlementations, normes","","N"
"100097","Lecture de carte","Normes et procédés","Documentations, cartes et plans","","N"
"100098","Techniques de marquage","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100100","Techniques d'élagage","Techniques professionnelles","Techniques manuelles, artisanales, industrielles","","N"
"100102","Techniques de cubage","Techniques professionnelles","Autres techniques professionnelles","","N"
"100104","Agronomie","Domaines d'expertise","Expertises scientifiques","O","N"
"100105","Pathologies végétales","Domaines d'expertise","Expertises scientifiques","","N"
"100113","Logiciels de gestion de base de données","Domaines d'expertise","Logiciels, progiciels","","O"
"100114","Agriculture biologique","Domaines d'expertise","Agriculture","O","N"
"100118","Fiscalité","Domaines d'expertise","Expertises techniques","","N"
"100119","Typologie des risques environnementaux et sanitaires","Normes et procédés","Règlementations, normes","O","N"
"100129","Code des marchés publics","Normes et procédés","Règlementations, normes","","N"
"100130","Manipulation de produits chimiques","Domaines d'expertise","Expertises techniques","","N"
"100131","Biologie végétale","Domaines d'expertise","Expertises scientifiques","","N"
"100132","Biologie animale","Domaines d'expertise","Expertises scientifiques","","N"
"100140","Utilisation d'outils de pesage et dosage (balance, verre doseur, etc.)","Produits, outils et matières","Outils, machines, équipement matériel","","N"
"100141","Physiologie animale","Domaines d'expertise","Expertises médicales et paramédicales","","N"
"100142","Propriétés des produits vétérinaires","Produits, outils et matières","Produits finis, services","","N"
"100143","Traçabilité des produits","Normes et procédés","Méthodes, procédés, procédures","","N"
"100144","Respect des normes d'hygiène et de sécurité","Normes et procédés","Règlementations, normes","","N"
"100149","Pathologies animales","Domaines d'expertise","Expertises médicales et paramédicales","","N"
"100151","Normes de sécurité sanitaire","Normes et procédés","Règlementations, normes","","N"
"100158","Botanique","Domaines d'expertise","Expertises scientifiques","","N"
"100159","Climatologie","Domaines d'expertise","Expertises scientifiques","O","N"
"100160","Hydrobiologie","Domaines d'expertise","Expertises scientifiques","","N"
"100161","Toxicologie","Domaines d'expertise","Expertises médicales et paramédicales","","N"
"100162","Génie rural","Domaines d'expertise","Agriculture","O","N"
"100170","Techniques d'éclaircissage","Domaines d'expertise","Agriculture","","N"
"100205","Lecture de carte marine","Normes et procédés","Documentations, cartes et plans","","N"
"100213","Matériel de levage","Produits, outils et matières","Outils, machines, équipement matériel","","N"
