"code_rome","code_rome_cible","numero_ordre"
"A1101","A1102","6"
"A1101","A1201","5"
"A1101","A1202","4"
"A1101","A1205","2"
"A1101","A1414","1"
"A1101","A1416","3"
"A1101","F1302","8"
"A1101","I1603","10"
"A1101","I1604","11"
"A1101","N1104","7"
"A1101","N4101","9"
"A1102","A1101","5"
"A1102","A1201","1"
"A1102","A1202","3"
"A1102","A1203","4"
"A1102","A1205","2"
"A1102","F1301","12"
"A1102","F1302","11"
"A1102","F1705","9"
"A1102","I1603","10"
"A1102","K2111","8"
"A1102","N1104","6"
"A1102","N4101","7"
"A1201","A1102","6"
"A1201","A1202","4"
"A1201","A1205","3"
"A1201","A1207","5"
"A1201","A1212","1"
"A1201","A1213","2"
"A1201","D1418","9"
"A1201","G1232","10"
"A1201","H2202","8"
"A1201","H2205","7"
"A1202","A1203","10"
"A1202","A1204","1"
"A1202","A1207","3"
"A1202","A1208","2"
"A1202","A1209","4"
"A1202","A1210","5"
"A1202","F1302","9"
"A1202","F1707","6"
"A1202","I1202","8"
"A1202","I1203","7"
"A1203","A1202","1"
"A1203","A1208","2"
"A1203","A1210","3"
"A1203","A1414","4"
"A1203","F1707","5"
"A1203","H2102","8"
"A1203","I1202","6"
"A1203","I1203","7"
"A1203","N1101","9"
"A1204","A1202","3"
"A1204","A1203","5"
"A1204","A1205","2"
"A1204","A1302","1"
"A1204","A1303","4"
"A1204","I1202","7"
"A1204","K1705","8"
"A1204","K1707","6"
"A1204","K2305","9"
"A1204","N3203","10"
"A1205","A1207","1"
"A1205","A1306","2"
"A1205","A1313","3"
"A1205","A1405","4"
"A1205","D1402","6"
"A1205","D1418","5"
"A1205","F1133","7"
"A1205","H2204","9"
"A1205","K1802","8"
"A1206","C1503","8"
"A1206","F1104","1"
"A1206","F1205","3"
"A1206","G1403","9"
"A1206","I1101","6"
"A1206","K1802","7"
"A1206","K2401","2"
"A1206","M1102","4"
"A1206","M1302","5"
"A1206","M1402","10"
"A1207","A1101","1"
"A1207","A1204","2"
"A1207","A1205","3"
"A1207","F1707","5"
"A1207","I1202","4"
"A1207","K1203","6"
"A1207","K2111","7"
"A1207","K2203","9"
"A1207","K2306","8"
"A1208","A1202","1"
"A1208","A1204","3"
"A1208","A1207","2"
"A1208","A1209","4"
"A1208","A1211","10"
"A1208","A1414","9"
"A1208","F1707","5"
"A1208","F1708","6"
"A1208","I1202","7"
"A1208","I1203","8"
"A1209","A1101","4"
"A1209","A1102","3"
"A1209","A1202","1"
"A1209","A1210","2"
"A1209","A1405","5"
"A1209","F1501","6"
"A1209","F1502","7"
"A1209","F1619","8"
"A1209","I1501","9"
"A1209","N1101","10"
"A1210","A1102","4"
"A1210","A1201","2"
"A1210","A1202","5"
"A1210","A1203","3"
"A1210","A1209","6"
"A1210","A1212","1"
"A1210","F1707","7"
"A1210","H2211","9"
"A1210","I1203","8"
"A1210","N4101","10"
"A1211","A1204","1"
"A1211","A1207","5"
"A1211","A1301","3"
"A1211","A1405","4"
"A1211","A1414","2"
"A1211","D1212","8"
"A1211","F1707","6"
"A1211","I1202","7"
"A1211","K1802","9"
"A1211","K2111","10"
"A1212","A1102","1"
"A1212","A1201","2"
"A1212","A1204","3"
"A1212","A1207","4"
"A1212","A1213","5"
"A1212","A1420","6"
"A1212","F1206","7"
"A1212","H2202","8"
"A1212","H2504","9"
"A1212","I1203","10"
"A1213","A1204","2"
"A1213","A1207","3"
"A1213","A1420","1"
"A1213","D1402","7"
"A1213","D1418","9"
"A1213","G1216","8"
"A1213","H2204","10"
"A1213","K1802","4"
"A1213","K2111","5"
"A1213","M1504","6"
"A1214","A1202","1"
"A1214","A1207","2"
"A1214","A1210","3"
"A1214","F1707","10"
"A1214","G1204","5"
"A1214","G1209","7"
"A1214","G1213","8"
"A1214","G1216","6"
"A1214","G1414","9"
"A1214","K1726","4"
"A1301","A1204","2"
"A1301","A1302","3"
"A1301","A1303","1"
"A1301","A1304","4"
"A1301","A1420","5"
"A1301","D1403","6"
"A1301","H1206","8"
"A1301","K1802","7"
"A1301","K2109","10"
"A1301","K2111","9"
"A1302","A1301","1"
"A1302","A1304","5"
"A1302","A1407","2"
"A1302","A1416","4"
"A1302","A1420","3"
"A1302","H1503","6"
"A1302","K1707","10"
"A1302","K2301","9"
"A1302","M1602","7"
"A1302","N1303","8"
"A1303","A1306","3"
"A1303","A1312","2"
"A1303","A1420","1"
"A1303","H1206","8"
"A1303","H1302","9"
"A1303","K1809","5"
"A1303","K1813","4"
"A1303","K2111","6"
"A1303","K2402","7"
"A1304","A1301","1"
"A1304","A1302","2"
"A1304","A1303","4"
"A1304","A1416","3"
"A1304","D1403","8"
"A1304","D1407","6"
"A1304","K1802","9"
"A1304","K2109","7"
"A1304","K2111","5"
"A1304","M1601","10"
"A1305","A1303","1"
"A1305","A1304","4"
"A1305","A1312","3"
"A1305","A1313","2"
"A1305","H1210","7"
"A1305","H1308","8"
"A1305","H1510","9"
"A1305","K1404","5"
"A1305","K1414","6"
"A1305","M1413","10"
"A1306","A1207","3"
"A1306","A1303","4"
"A1306","A1307","5"
"A1306","A1313","1"
"A1306","G1104","10"
"A1306","G1231","8"
"A1306","K1802","7"
"A1306","K2402","6"
"A1306","M1413","2"
"A1306","M1429","9"
"A1307","A1204","1"
"A1307","A1205","6"
"A1307","A1303","2"
"A1307","A1306","5"
"A1307","A1312","3"
"A1307","A1313","4"
"A1307","K1809","9"
"A1307","K1813","10"
"A1307","K2402","7"
"A1307","M1413","8"
"A1308","A1304","2"
"A1308","A1305","3"
"A1308","A1309","1"
"A1308","A1407","5"
"A1308","A1409","6"
"A1308","A1439","4"
"A1308","A1509","7"
"A1308","D1413","8"
"A1308","H1224","9"
"A1308","K2111","10"
"A1309","A1304","2"
"A1309","A1305","3"
"A1309","A1308","1"
"A1309","A1439","6"
"A1309","A1502","4"
"A1309","A1509","5"
"A1309","G1210","7"
"A1309","G1405","9"
"A1309","L1403","8"
"A1309","N4125","10"
"A1310","A1304","7"
"A1310","A1308","6"
"A1310","A1407","4"
"A1310","A1409","3"
"A1310","A1410","2"
"A1310","A1411","5"
"A1310","A1439","1"
"A1310","D1116","10"
"A1310","G1240","8"
"A1310","N4125","9"
"A1311","A1204","1"
"A1311","A1205","2"
"A1311","A1207","3"
"A1311","A1213","4"
"A1311","A1306","5"
"A1311","A1313","6"
"A1311","G1216","9"
"A1311","G1231","10"
"A1311","K2111","7"
"A1311","M1413","8"
"A1312","A1303","4"
"A1312","A1307","3"
"A1312","H1237","7"
"A1312","H1304","2"
"A1312","H1520","6"
"A1312","H1523","1"
"A1312","K2402","5"
"A1312","M1406","9"
"A1312","M1429","10"
"A1312","M1891","8"
"A1313","A1306","7"
"A1313","A1312","3"
"A1313","H1302","2"
"A1313","H1304","4"
"A1313","H1523","1"
"A1313","K1404","9"
"A1313","K2111","5"
"A1313","M1413","6"
"A1313","M1429","8"
"A1401","A1210","3"
"A1401","A1419","2"
"A1401","A1444","1"
"A1401","D1507","6"
"A1401","G1602","9"
"A1401","H2102","8"
"A1401","H2105","5"
"A1401","H3302","4"
"A1401","N1103","7"
"A1402","A1202","4"
"A1402","A1203","5"
"A1402","A1210","6"
"A1402","A1403","2"
"A1402","A1419","1"
"A1402","A1433","3"
"A1402","D1219","10"
"A1402","D1507","11"
"A1402","H2102","7"
"A1402","H3302","8"
"A1402","N4120","9"
"A1403","A1101","2"
"A1403","A1202","3"
"A1403","A1407","4"
"A1403","A1419","1"
"A1403","F1709","5"
"A1403","G1602","12"
"A1403","H2101","11"
"A1403","H2102","6"
"A1403","H3301","7"
"A1403","N1101","10"
"A1403","N1103","9"
"A1403","N1105","8"
"A1404","A1415","4"
"A1404","A1417","1"
"A1404","A1428","2"
"A1404","D1105","7"
"A1404","D1301","6"
"A1404","D1410","5"
"A1404","H1502","10"
"A1404","H2504","9"
"A1404","K1802","8"
"A1404","N1101","3"
"A1405","A1101","8"
"A1405","A1304","2"
"A1405","A1414","3"
"A1405","A1416","1"
"A1405","A1418","4"
"A1405","A1420","6"
"A1405","A1429","7"
"A1405","D1107","10"
"A1405","D1502","9"
"A1405","H2102","5"
"A1406","A1404","1"
"A1406","A1417","2"
"A1406","D1105","9"
"A1406","D1502","6"
"A1406","D1504","10"
"A1406","H2102","7"
"A1406","I1103","8"
"A1406","I1605","4"
"A1406","N1202","5"
"A1406","N1302","3"
"A1407","A1101","5"
"A1407","A1304","3"
"A1407","A1412","4"
"A1407","A1416","2"
"A1407","A1420","1"
"A1407","D1116","6"
"A1407","H2103","7"
"A1407","H2104","8"
"A1407","N4105","10"
"A1407","N4125","9"
"A1408","A1306","5"
"A1408","A1310","2"
"A1408","A1435","1"
"A1408","A1506","4"
"A1408","A1511","3"
"A1408","D1502","8"
"A1408","G1240","6"
"A1408","H2103","7"
"A1408","N4125","9"
"A1409","A1202","4"
"A1409","A1302","1"
"A1409","A1310","2"
"A1409","A1416","3"
"A1409","D1113","6"
"A1409","D1407","5"
"A1409","D1502","7"
"A1409","H2102","8"
"A1409","H3302","9"
"A1409","N4125","10"
"A1410","A1304","2"
"A1410","A1313","4"
"A1410","A1412","8"
"A1410","A1416","1"
"A1410","D1502","3"
"A1410","G1231","7"
"A1410","G1240","5"
"A1410","H2104","9"
"A1410","N4125","6"
"A1411","A1302","2"
"A1411","A1304","3"
"A1411","A1310","8"
"A1411","A1416","1"
"A1411","D1103","5"
"A1411","D1301","6"
"A1411","D1407","4"
"A1411","D1502","10"
"A1411","H2103","7"
"A1411","N4125","9"
"A1412","A1407","6"
"A1412","A1410","5"
"A1412","D1107","8"
"A1412","D1403","9"
"A1412","D1502","10"
"A1412","G1101","3"
"A1412","G1202","4"
"A1412","G1602","2"
"A1412","H2102","1"
"A1412","M1608","7"
"A1413","D1410","10"
"A1413","D1502","9"
"A1413","G1803","2"
"A1413","G1805","1"
"A1413","G1807","5"
"A1413","H2506","3"
"A1413","M1416","8"
"A1413","N1115","6"
"A1413","N1302","4"
"A1413","N1303","7"
"A1414","A1207","6"
"A1414","A1208","5"
"A1414","A1304","7"
"A1414","A1416","3"
"A1414","A1420","2"
"A1414","A1429","4"
"A1414","A1434","1"
"A1414","D1209","8"
"A1414","D1219","9"
"A1414","K2111","10"
"A1415","A1404","1"
"A1415","A1406","2"
"A1415","A1425","7"
"A1415","A1427","10"
"A1415","D1105","3"
"A1415","H2102","4"
"A1415","I1601","5"
"A1415","I1605","6"
"A1415","N3102","8"
"A1415","N3203","9"
"A1416","A1304","1"
"A1416","A1306","5"
"A1416","A1313","2"
"A1416","A1420","3"
"A1416","A1436","4"
"A1416","D1113","8"
"A1416","D1410","7"
"A1416","I1328","6"
"A1416","K1404","9"
"A1416","K2111","10"
"A1417","A1202","1"
"A1417","A1404","2"
"A1417","A1414","3"
"A1417","A1416","4"
"A1417","D1106","8"
"A1417","D1301","7"
"A1417","G1102","5"
"A1417","G1201","9"
"A1417","H2102","11"
"A1417","K1802","6"
"A1417","N1103","10"
"A1418","A1405","2"
"A1418","A1413","4"
"A1418","A1414","1"
"A1418","A1420","3"
"A1418","D1406","10"
"A1418","D1410","6"
"A1418","G1102","7"
"A1418","G1801","8"
"A1418","G1804","9"
"A1418","H2206","5"
"A1419","A1101","1"
"A1419","A1202","6"
"A1419","A1203","7"
"A1419","A1401","3"
"A1419","A1402","2"
"A1419","A1403","4"
"A1419","A1414","5"
"A1419","H2103","8"
"A1419","H3302","10"
"A1419","N1103","9"
"A1420","A1205","4"
"A1420","A1304","5"
"A1420","A1414","1"
"A1420","A1416","3"
"A1420","A1418","2"
"A1420","D1107","6"
"A1420","D1410","7"
"A1420","D1502","10"
"A1420","H2102","9"
"A1420","H2502","8"
"A1421","A1202","5"
"A1421","A1403","4"
"A1421","A1407","2"
"A1421","A1501","3"
"A1421","A1502","1"
"A1421","B1802","6"
"A1421","G1210","8"
"A1421","I1203","7"
"A1421","K1701","10"
"A1421","K1705","9"
"A1422","A1304","4"
"A1422","A1413","2"
"A1422","A1418","3"
"A1422","A1423","1"
"A1422","A1446","10"
"A1422","D1301","7"
"A1422","D1410","5"
"A1422","D1501","6"
"A1422","G1801","8"
"A1422","G1804","9"
"A1423","A1418","1"
"A1423","D1301","3"
"A1423","D1410","2"
"A1423","H1206","8"
"A1423","H1503","6"
"A1423","K2111","4"
"A1423","K2402","5"
"A1423","M1101","7"
"A1423","M1707","9"
"A1423","N1301","10"
"A1424","A1207","2"
"A1424","A1304","3"
"A1424","A1404","1"
"A1424","D1105","4"
"A1424","D1410","6"
"A1424","K2111","9"
"A1424","M1101","8"
"A1424","N1101","5"
"A1424","N1303","7"
"A1425","A1202","2"
"A1425","A1415","1"
"A1425","A1430","7"
"A1425","H2102","8"
"A1425","H2406","5"
"A1425","H2415","6"
"A1425","I1203","9"
"A1425","N1103","4"
"A1425","N3203","3"
"A1426","A1204","8"
"A1426","A1408","3"
"A1426","A1501","1"
"A1426","A1503","4"
"A1426","A1506","2"
"A1426","G1202","6"
"A1426","G1209","7"
"A1426","G1216","5"
"A1427","A1404","3"
"A1427","A1406","2"
"A1427","A1415","1"
"A1427","A1428","10"
"A1427","D1407","9"
"A1427","I1601","4"
"A1427","I1605","5"
"A1427","N1103","6"
"A1427","N3102","7"
"A1427","N3203","8"
"A1428","A1202","1"
"A1428","A1404","3"
"A1428","A1417","2"
"A1428","A1424","4"
"A1428","D1301","6"
"A1428","G1101","8"
"A1428","G1202","7"
"A1428","G1602","9"
"A1428","H1210","10"
"A1428","N1103","5"
"A1429","A1202","3"
"A1429","A1204","4"
"A1429","A1208","7"
"A1429","A1416","2"
"A1429","D1106","6"
"A1429","D1301","5"
"A1429","D1507","8"
"A1429","G1102","1"
"A1429","G1202","9"
"A1429","M1608","10"
"A1430","A1202","3"
"A1430","A1404","1"
"A1430","A1419","4"
"A1430","A1428","2"
"A1430","A1431","5"
"A1430","H2102","7"
"A1430","H3301","6"
"A1430","N1101","10"
"A1430","N1103","8"
"A1430","N1105","9"
"A1431","A1202","1"
"A1431","A1424","2"
"A1431","A1430","3"
"A1431","D1105","4"
"A1431","H2102","8"
"A1431","H3301","9"
"A1431","N1101","6"
"A1431","N1103","5"
"A1431","N4105","7"
"A1432","A1204","3"
"A1432","A1207","5"
"A1432","A1208","4"
"A1432","A1414","1"
"A1432","A1420","2"
"A1432","B1401","6"
"A1432","D1212","7"
"A1432","D1301","8"
"A1432","G1240","9"
"A1432","H2201","10"
"A1433","A1304","2"
"A1433","A1414","6"
"A1433","A1416","3"
"A1433","A1420","4"
"A1433","A1429","5"
"A1433","A1440","1"
"A1433","D1107","7"
"A1433","D1502","8"
"A1433","G1602","10"
"A1433","H2506","9"
"A1434","A1302","1"
"A1434","A1304","4"
"A1434","A1416","2"
"A1434","A1420","3"
"A1434","A1433","5"
"A1434","D1107","7"
"A1434","D1410","6"
"A1434","H2506","8"
"A1434","N1302","9"
"A1435","A1426","1"
"A1435","A1501","5"
